line,event
0,exiting-entering
5,exiting-entering
8,exiting-entering
9,exiting-entering
10,exiting-entering
14,entering-exiting
16,entering-exiting
17,entering-exiting
32,exiting-entering
33,exiting-entering
36,entering-exiting
39,exiting-entering
42,exiting-entering
45,exiting-entering
46,exiting-entering
48,exiting-entering
58,exiting-entering
59,exiting-entering
63,exiting-entering
71,exiting-entering
79,exiting-entering
81,exiting-entering
86,exiting-entering
90,entering-exiting
91,exiting-entering
94,exiting-entering
96,entering-exiting
97,entering-exiting
98,entering-exiting
106,exiting-entering
108,entering-exiting
109,entering-exiting
117,entering-exiting
124,exiting-entering
128,exiting-entering
131,entering-exiting
135,entering-exiting
137,exiting-entering
140,entering-exiting
142,exiting-entering
144,entering-exiting
145,entering-exiting
148,exiting-entering
150,exiting-entering
158,entering-exiting
161,entering-exiting
162,entering-exiting
163,entering-exiting
167,exiting-entering
169,exiting-entering
177,entering-exiting
179,entering-exiting
180,entering-exiting
188,entering-exiting
190,entering-exiting
191,entering-exiting
192,entering-exiting
193,entering-exiting
196,exiting-entering
198,entering-exiting
209,entering-exiting
210,entering-exiting
219,exiting-entering
223,entering-exiting
225,exiting-entering
226,entering-exiting
229,entering-exiting
244,entering-exiting
258,exiting-entering
259,exiting-entering
260,exiting-entering
261,exiting-entering
280,exiting-entering
288,exiting-entering
289,exiting-entering
290,exiting-entering
291,exiting-entering
302,exiting-entering
304,exiting-entering
306,exiting-entering
308,exiting-entering
309,exiting-entering
320,exiting-entering
321,exiting-entering
322,exiting-entering
328,exiting-entering
344,exiting-entering
345,exiting-entering
358,exiting-entering
359,exiting-entering
360,exiting-entering
379,exiting-entering
382,exiting-entering
383,exiting-entering
384,exiting-entering
387,exiting-entering
389,exiting-entering
392,exiting-entering
393,exiting-entering
401,exiting-entering
